time,hn_dot_div_un,un_dot_grad_hn,mass,kinetic,potential
0.0031415926535897933,1.4737131405380394e-9,1.4737131405383782e-9,12.566433313618097,2.3198352099827537e-12,6.283248081565324
0.006283185307179587,2.922398564180398e-9,2.9223985641766102e-9,12.566433313618104,9.239941793445087e-12,6.28324808155841
0.00942477796076938,4.321589468637978e-9,4.321589468636617e-9,12.566433313618104,2.0642948731930566e-11,6.283248081546997
0.012566370614359173,5.647962788083504e-9,5.647962788076615e-9,12.566433313618102,3.63361988384875e-11,6.283248081531296
0.015707963267948967,6.879873685051014e-9,6.8798736850489425e-9,12.5664333136181,5.605619547405598e-11,6.2832480815115845
0.01884955592153876,7.997845795973047e-9,7.997845795970714e-9,12.566433313618102,7.947466426416774e-11,6.283248081488187
0.021991148575128554,8.9850044522614e-9,8.985004452266107e-9,12.566433313618102,1.0620607018877909e-10,6.283248081461452
0.025132741228718346,9.82744172322924e-9,9.827441723236763e-9,12.566433313618107,1.358163926907816e-10,6.283248081431839
0.02827433388230814,1.0514504063246073e-8,1.0514504063248201e-8,12.56643331361811,1.678329293354803e-10,6.283248081399827
0.031415926535897934,1.1038995535324087e-8,1.1038995535313473e-8,12.566433313618104,2.0175487294495003e-10,6.283248081365908
0.034557519189487726,1.139729196054172e-8,1.1397291960548944e-8,12.566433313618106,2.370643887231633e-10,6.283248081330591
0.03769911184307752,1.158936383620023e-8,1.1589363836170258e-8,12.566433313618111,2.732379071598481e-10,6.283248081294442
0.04084070449666731,1.1618708401336416e-8,1.1618708401328994e-8,12.566433313618106,3.097573457018502e-10,6.283248081257921
0.04398229715025711,1.149219373089729e-8,1.1492193730886698e-8,12.566433313618107,3.461209773248814e-10,6.283248081221549
0.0471238898038469,1.1219820136594859e-8,1.1219820136587768e-8,12.566433313618106,3.818536770082021e-10,6.28324808118582
0.05026548245743669,1.0814406373465628e-8,1.0814406373458438e-8,12.566433313618106,4.165162972624036e-10,6.283248081151164
0.053407075111026485,1.0291210133521675e-8,1.0291210133498127e-8,12.56643331361811,4.4971395063680883e-10,6.283248081117974
0.05654866776461628,9.667493995968936e-9,9.667493995956392e-9,12.566433313618111,4.811030096929816e-10,6.283248081086586
0.059690260418206076,8.96204935114034e-9,8.962049351133396e-9,12.566433313618107,5.103966722781231e-10,6.283248081057293
0.06283185307179587,8.19469178821522e-9,8.194691788199408e-9,12.56643331361811,5.37368980934293e-10,6.283248081030324
0.06597344572538566,7.385742011029644e-9,7.385742011021038e-9,12.566433313618107,5.618572287219054e-10,6.283248081005843
0.06911503837897545,6.555506510916823e-9,6.5555065109195045e-9,12.566433313618111,5.837627283382476e-10,6.283248080983936
0.07225663103256524,5.723771982395271e-9,5.723771982384308e-9,12.566433313618115,6.030499658923295e-10,6.283248080964649
0.07539822368615504,4.909326829564262e-9,4.909326829565327e-9,12.566433313618115,6.197442037828594e-10,6.2832480809479705
0.07853981633974483,4.129522104451158e-9,4.129522104456776e-9,12.566433313618113,6.339276376197434e-10,6.283248080933776
0.08168140899333462,3.399882877419979e-9,3.3998828774211404e-9,12.566433313618111,6.457342489188147e-10,6.283248080921972
0.08482300164692443,2.733779410999769e-9,2.7337794110089954e-9,12.566433313618116,6.553435274043596e-10,6.2832480809123625
0.08796459430051422,2.14216564296561e-9,2.142165642955509e-9,12.566433313618115,6.629732633492165e-10,6.283248080904741
0.09110618695410401,1.6333904428261676e-9,1.633390442824918e-9,12.566433313618116,6.688716308156475e-10,6.283248080898846
0.0942477796076938,1.2130849484473839e-9,1.2130849484538262e-9,12.566433313618118,6.733087964733428e-10,6.283248080894416
0.0973893722612836,8.841270841642087e-10,8.841270841569392e-10,12.566433313618116,6.765682956041973e-10,6.2832480808911555
0.10053096491487339,6.466821703942773e-10,6.466821704181357e-10,12.566433313618116,6.789384169064298e-10,6.283248080888792
0.10367255756846318,4.983164229749321e-10,4.983164229935006e-10,12.566433313618113,6.807038309291747e-10,6.283248080887026
0.10681415022205297,4.3417816637507076e-10,4.3417816636926127e-10,12.566433313618116,6.82137683746376e-10,6.283248080885605
0.10995574287564276,4.472398029990229e-10,4.4723980299228713e-10,12.566433313618118,6.834943583366254e-10,6.28324808088425
0.11309733552923255,5.285920385139133e-10,5.285920385126756e-10,12.566433313618116,6.850030817545054e-10,6.283248080882736
0.11623892818282235,6.677805994115515e-10,6.677805994124595e-10,12.56643331361812,6.868625273754473e-10,6.283248080880887
0.11938052083641215,8.531747240681214e-10,8.531747240522703e-10,12.566433313618122,6.892365291975987e-10,6.283248080878518
0.12252211349000194,1.0723560830831302e-9,1.0723560830752633e-9,12.566433313618122,6.922509903967323e-10,6.283248080875501
0.12566370614359174,1.3125164990095975e-9,1.3125164989925863e-9,12.566433313618122,6.959920321078099e-10,6.283248080871763
0.12880529879718153,1.5608528897117268e-9,1.56085288969968e-9,12.566433313618123,7.005053918238886e-10,6.283248080867254
0.13194689145077132,1.8049482448760013e-9,1.8049482448783685e-9,12.566433313618122,7.057970449134668e-10,6.283248080861956
0.1350884841043611,2.033128141607228e-9,2.0331281416154816e-9,12.566433313618123,7.118349885773024e-10,6.283248080855929
0.1382300767579509,2.2347832865830496e-9,2.2347832865836717e-9,12.566433313618122,7.185520960320844e-10,6.283248080849216
0.1413716694115407,2.40064980209985e-9,2.4006498020930783e-9,12.566433313618129,7.258499206639281e-10,6.283248080841926
0.1445132620651305,2.5230404126555376e-9,2.523040412658479e-9,12.566433313618123,7.336033060594516e-10,6.283248080834172
